257,192835,0,800000
513,81586,9195,800000
769,838,0,800000
1025,838,0,800000
1281,838,0,800000
2,449468,76734,800000
258,25890,1710,800000
514,838,0,800000
770,838,0,800000
1026,838,0,800000
1282,838,0,800000
3,55534,0,800000
259,99792,0,800000
515,838,0,800000
771,838,0,800000
1027,838,0,800000
1283,838,0,800000
4,51170,33852,800000
260,838,0,800000
516,838,0,800000
772,838,0,800000
1028,838,0,800000
1284,838,0,800000
5,559102,77819,800000
261,838,0,800000
517,838,0,800000
773,838,0,800000
1029,838,0,800000
1285,838,0,800000
0,757380,78486,900000
256,749966,91515,900000
512,71660,4959,900000
768,838,0,900000
1024,838,0,900000
1280,838,0,900000
1,673384,77685,900000
257,192835,0,900000
513,90001,8415,900000
769,838,0,900000
1025,838,0,900000
1281,838,0,900000
2,520824,71356,900000
258,29310,3420,900000
514,838,0,900000
770,838,0,900000
1026,838,0,900000
1282,838,0,900000
3,55534,0,900000
259,99792,0,900000
515,838,0,900000
771,838,0,900000
1027,838,0,900000
1283,838,0,900000
4,87493,36323,900000
260,838,0,900000
516,838,0,900000
772,838,0,900000
1028,838,0,900000
1284,838,0,900000
5,636928,77826,900000
261,838,0,900000
517,838,0,900000
773,838,0,900000
1029,838,0,900000
1285,838,0,900000
0,837483,80103,1000000
256,774871,24905,1000000
512,76266,4606,1000000
768,838,0,1000000
1024,838,0,1000000
1280,838,0,1000000
1,694261,20877,1000000
257,192835,0,1000000
513,95871,5870,1000000
769,838,0,1000000
1025,838,0,1000000
1281,838,0,1000000
2,522068,1244,1000000
258,31020,1710,1000000
514,838,0,1000000
770,838,0,1000000
1026,838,0,1000000
1282,838,0,1000000
3,55534,0,1000000
259,99792,0,1000000
515,838,0,1000000
771,838,0,1000000
1027,838,0,1000000
1283,838,0,1000000
4,138565,51072,1000000
260,838,0,1000000
516,838,0,1000000
772,838,0,1000000
1028,838,0,1000000
1284,838,0,1000000
5,680532,43604,1000000
261,838,0,1000000
517,838,0,1000000
773,838,0,1000000
1029,838,0,1000000
1285,838,0,1000000
0,922557,85074,1100000
256,774871,0,1100000
512,76266,0,1100000
768,838,0,1100000
1024,838,0,1100000
1280,838,0,1100000
1,694261,0,1100000
257,192835,0,1100000
513,95871,0,1100000
769,838,0,1100000
1025,838,0,1100000
1281,838,0,1100000
2,522068,0,1100000
258,31020,0,1100000
514,838,0,1100000
770,838,0,1100000
1026,838,0,1100000
1282,838,0,1100000
3,55534,0,1100000
259,99792,0,1100000
515,838,0,1100000
771,838,0,1100000
1027,838,0,1100000
1283,838,0,1100000
4,138565,0,1100000
260,838,0,1100000
516,838,0,1100000
772,838,0,1100000
1028,838,0,1100000
1284,838,0,1100000
5,758433,77901,1100000
261,838,0,1100000
517,838,0,1100000
773,838,0,1100000
1029,838,0,1100000
1285,838,0,1100000
0,1007632,85075,1200000
256,774871,0,1200000
512,76266,0,1200000
768,838,0,1200000
1024,838,0,1200000
1280,838,0,1200000
1,694261,0,1200000
257,192835,0,1200000
513,95871,0,1200000
769,838,0,1200000
1025,838,0,1200000
1281,838,0,1200000
2,522068,0,1200000
258,31020,0,1200000
514,838,0,1200000
770,838,0,1200000
1026,838,0,1200000
1282,838,0,1200000
3,55534,0,1200000
259,99792,0,1200000
515,838,0,1200000
771,838,0,1200000
1027,838,0,1200000
1283,838,0,1200000
4,138565,0,1200000
260,838,0,1200000
516,838,0,1200000
772,838,0,1200000
1028,838,0,1200000
1284,838,0,1200000
5,836337,77904,1200000
261,838,0,1200000
517,838,0,1200000
773,838,0,1200000
1029,838,0,1200000
1285,838,0,1200000
0,1089478,81846,1300000
256,832754,57883,1300000
512,76266,0,1300000
768,838,0,1300000
1024,838,0,1300000
1280,838,0,1300000
1,750916,56655,1300000
257,192835,0,1300000
513,95871,0,1300000
769,838,0,1300000
1025,838,0,1300000
1281,838,0,1300000
2,524128,2060,1300000
258,31020,0,1300000
514,838,0,1300000
770,838,0,1300000
1026,838,0,1300000
1282,838,0,1300000
3,55534,0,1300000
259,99792,0,1300000
515,838,0,1300000
771,838,0,1300000
1027,838,0,1300000
1283,838,0,1300000
4,138565,0,1300000
260,838,0,1300000
516,838,0,1300000
772,838,0,1300000
1028,838,0,1300000
1284,838,0,1300000
5,910900,74563,1300000
261,838,0,1300000
517,838,0,1300000
773,838,0,1300000
1029,838,0,1300000
1285,838,0,1300000
0,1167966,78488,1400000
256,906055,73301,1400000
512,76266,0,1400000
768,838,0,1400000
1024,838,0,1400000
1280,838,0,1400000
1,828716,77800,1400000
257,192835,0,1400000
513,95871,0,1400000
769,838,0,1400000
1025,838,0,1400000
1281,838,0,1400000
2,524128,0,1400000
258,31020,0,1400000
514,838,0,1400000
770,838,0,1400000
1026,838,0,1400000
1282,838,0,1400000
3,55534,0,1400000
259,99792,0,1400000
515,838,0,1400000
771,838,0,1400000
1027,838,0,1400000
1283,838,0,1400000
4,138565,0,1400000
260,838,0,1400000
516,838,0,1400000
772,838,0,1400000
1028,838,0,1400000
1284,838,0,1400000
5,984199,73299,1400000
261,838,0,1400000
517,838,0,1400000
773,838,0,1400000
1029,838,0,1400000
1285,838,0,1400000
0,1248484,80518,1500000
256,973053,66998,1500000
512,82383,6117,1500000
768,838,0,1500000
1024,838,0,1500000
1280,838,0,1500000
1,878001,49285,1500000
257,192835,0,1500000
513,103252,7381,1500000
769,838,0,1500000
1025,838,0,1500000
1281,838,0,1500000
2,525947,1819,1500000
258,34241,3221,1500000
514,838,0,1500000
770,838,0,1500000
1026,838,0,1500000
1282,838,0,1500000
