768	262144	127835
1	262144	127836
4	258	127871
5	260	127911
768	516	127924
1	4	127925
4	262144	128138
4	258	128227
5	262144	128400
1	262144	128412
768	262144	128413
5	260	128489
4	262144	128494
1	4	128501
768	516	128502
4	258	128583
4	262144	128850
4	258	128939
5	262144	128978
1	262144	128988
768	262144	128991
5	260	129067
1	4	129077
768	516	129080
4	262144	129206
4	258	129295
5	262144	129556
4	262144	129562
1	262144	129564
768	262144	129569
5	260	129645
4	258	129651
1	4	129653
768	516	129658
1027	65536	129776
4	65536	129835
768	65536	129842
4	258	129946
768	516	129953
5	262144	130134
1	262144	130140
5	260	130223
1	4	130229
4	262144	130329
4	524288	130405
5	65536	130407
768	262144	130426
768	516	130515
1	262144	130716
5	260	130764
1	4	130805
4	65536	130846
768	262144	131004
768	516	131093
4	262144	131148
1027	262144	131187
4	258	131226
1027	772	131265
1	262144	131292
1	4	131381
512	65536	131392
768	262144	131582
768	516	131671
1	262144	131868
1	4	131957
768	262144	132160
768	516	132249
1	262144	132444
1	4	132533
768	262144	132738
768	516	132831
1	262144	133020
1	4	133109
512	262144	133303
768	262144	133320
512	514	133381
768	516	133409
1	262144	133596
1	4	133685
768	262144	133898
768	516	133987
1	262144	134172
1	4	134261
768	262144	134476
768	516	134565
1	262144	134748
1	4	134837
768	262144	135054
768	516	135143
1	262144	135324
1	4	135413
768	262144	135632
768	516	135721
5	65536	135728
5	262144	135756
5	260	135849
1	262144	135900
512	262144	135942
1	4	135989
512	514	136031
768	262144	136210
512	262144	136298
768	516	136299
512	514	136387
1	262144	136476
1	4	136565
512	262144	136654
512	514	136743
768	262144	136788
768	516	136877
512	262144	137010
1	262144	137052
512	514	137099
1	4	137141
5	262144	137350
512	262144	137366
768	262144	137366
5	260	137439
512	514	137455
768	516	137455
1	262144	137628
1	4	137717
512	262144	137722
512	514	137811
5	262144	137926
768	262144	137944
5	260	138015
768	516	138033
512	262144	138078
512	514	138167
1	262144	138204
1	4	138293
512	262144	138434
5	262144	138502
768	262144	138522
512	514	138523
5	260	138591
768	516	138611
1	262144	138780
512	262144	138790
1	4	138869
512	514	138879
2	65536	138914
2	262144	138942
4	65536	139017
2	2	139035
4	262144	139045
5	262144	139078
768	262144	139100
4	258	139138
512	262144	139146
5	260	139167
768	516	139189
512	514	139235
1	262144	139356
1	4	139445
512	262144	139502
512	514	139591
5	262144	139654
768	262144	139678
5	260	139743
768	516	139767
512	262144	139858
1	262144	139932
512	514	139947
1	4	140021
512	262144	140214
5	262144	140230
768	262144	140256
512	514	140303
5	260	140319
768	516	140345
1	262144	140508
512	262144	140570
1	4	140597
512	514	140659
5	262144	140806
768	262144	140834
5	260	140895
768	516	140923
512	262144	140926
512	514	141015
1	262144	141084
1	4	141173
512	262144	141282
512	514	141371
5	262144	141382
768	262144	141412
5	260	141471
768	516	141501
512	262144	141638
1	262144	141660
512	514	141727
1	4	141749
5	262144	141958
768	262144	141990
512	262144	141994
5	260	142047
768	516	142079
512	514	142083
1	262144	142236
1	4	142329
512	262144	142350
512	514	142439
5	262144	142534
768	262144	142568
5	260	142623
768	516	142657
512	262144	142706
512	514	142795
1	262144	142816
1	4	142905
512	262144	143062
5	262144	143110
768	262144	143146
512	514	143151
5	260	143199
768	516	143235
1	262144	143392
512	262144	143418
1	4	143481
512	514	143507
5	262144	143686
